No.,종목명,기준,시장,자산총계,자본금,자본총계,매출액,영업이익,순이익
703,두산로보틱스,202312,유,459917,32410,442167,55053,-16945,-13601
704,한국내화,202312,유,278057,20534,205716,274046,8648,-14685
705,화인베스틸,202312,유,182636,16234,63468,129728,-17313,-15004
706,KR모터스,202312,유,87610,48069,24349,14852,-6234,-15458
707,금호전기,202312,유,43392,18522,5295,43768,-4446,-15775
708,한익스프레스,202312,유,408674,6000,68129,622412,6836,-15967
709,동원수산,202312,유,96775,23269,45566,94997,-15950,-16064
710,율촌화학,202312,유,669698,14776,301561,393256,-16012,-16192
711,씨티알모빌리티,202312,유,255793,4305,81389,342030,-1504,-16625
712,무림P&P,202312,유,1305891,155921,579219,719245,4653,-16709
713,대창,202312,유,510462,45571,209316,520850,-8695,-16803
714,세원이앤씨,202312,유,343406,26377,189659,130464,-6080,-17350
715,한창제지,202312,유,288895,29834,91038,276034,-11475,-17495
716,경인양행,202312,유,378676,20808,193082,216181,-4023,-18143
717,전방,202312,유,237659,8400,190304,94772,-32522,-18613
718,참엔지니어링,202312,유,77453,42859,38958,13622,-17092,-18723
719,제일파마홀딩스,202312,유,416961,7987,321233,13687,5463,-18804
720,부광약품,202312,유,460536,36402,286724,125176,-17173,-19093
721,에넥스,202312,유,143040,29996,38349,227604,-6787,-19369
722,일진디스플,202312,유,111251,25757,25072,20295,-9900,-19972
723,비상교육,202312,유,352006,6498,173332,238317,-13450,-20203
724,SK바이오팜,202312,유,570715,39157,301884,310705,-18078,-20782
725,일성아이에스,202312,유,419190,13300,382754,78053,-7993,-20941
726,자화전자,202312,유,642904,11078,369972,449417,-11979,-22348
727,쌍방울,202312,유,116657,131296,94200,88456,1188,-22599
728,대구백화점,202312,유,405732,54129,240533,61806,-16479,-22942
729,한창,202312,유,73173,9303,1071,18637,-4679,-22960
730,사조씨푸드,202312,유,320073,17219,217868,176024,-34844,-23091
731,종근당바이오,202312,유,293785,13715,123024,160353,-20153,-24193
732,GS리테일,202312,유,8218723,104718,4082533,10886895,314982,-24548
733,삼성제약,202312,유,93479,33581,77585,51955,-18037,-24812
734,아센디오,202312,유,48535,51785,26372,6883,-9651,-25682
735,HLB글로벌,202312,유,100199,21190,51025,29866,-4303,-27720
736,윌비스,202312,유,263881,72882,142407,140072,-5418,-28733
737,한화갤러리아,202312,유,1722182,98382,837780,351948,8570,-29837
738,현대비앤지스틸,202312,유,775481,75943,485196,1044395,-35289,-30613
739,깨끗한나라,202312,유,625649,37607,197671,515221,-20501,-31583
740,미래산업,202312,유,98082,15215,72689,20374,-16782,-31809
741,다이나믹디자인,202312,유,85935,8651,47741,39722,-6243,-32626
742,코스모화학,202312,유,496820,38408,253267,159799,-28583,-33406
743,웅진씽크빅,202312,유,634055,58701,354360,697897,10843,-33528
744,국보,202312,유,84250,62949,26426,47255,-11064,-33559
745,키다리스튜디오,202312,유,300691,18495,230541,84924,-8715,-33770
746,성안머티리얼스,202312,유,128492,33676,27247,33790,-9250,-33905
747,KC코트렐,202312,유,389624,25468,48781,406660,-20231,-34235
748,현대리바트,202312,유,891615,20535,400018,1552128,-20611,-34715
749,롯데하이마트,202312,유,2370681,118039,1249790,2610137,8223,-35369
750,플레이그램,202312,유,89858,12675,47470,53928,-4024,-36969
751,대한유화,202312,유,2024621,41000,1732032,2478611,-66611,-38497
752,대양금속,202312,유,151057,25224,97746,200970,-2500,-38643
753,인스코비,202312,유,52115,57939,24088,51150,-5879,-38807
754,금호에이치티,202312,유,367257,100588,278004,256235,-8044,-38840
755,KEC,202312,유,472875,100382,348968,199078,-38597,-39022
756,아주스틸,202312,유,721258,13226,214523,508655,-14733,-39385
757,SK아이이테크놀로지,202312,유,2460180,71298,2012102,319929,-110013,-39994
758,영풍,202312,유,2379091,9210,1710002,1546655,-142396,-43025
759,콘텐트리중앙,202312,유,884806,96312,503587,30410,-2373,-43723
760,코리아써키트,202312,유,822987,13685,403158,634388,-41913,-44699
761,LG헬로비전,202312,유,1308980,193617,562336,1191624,45490,-47334
762,카프로,202312,유,216805,20000,-23332,75594,-39472,-49109
763,쏘카,202312,유,660194,3279,214858,368652,-10487,-49693
764,현대백화점,202312,유,7712163,117012,4098004,1739691,229295,-50555
765,한샘,202312,유,891220,23534,332330,1487720,-6350,-53603
766,STX,202312,유,390784,77545,75709,764556,-21121,-53737
767,신풍제약,202312,유,343124,27592,263690,186670,-49460,-53806
768,이엔플러스,202312,유,125525,34916,80968,25128,-19155,-55022
769,롯데지주,202312,유,9340977,21143,4723798,288430,93852,-57795
770,웰바이오텍,202312,유,43938,45462,32356,2674,-11223,-62439
771,남양유업,202312,유,859768,4600,676416,972264,-66641,-64776
772,LG에너지솔루션,202312,유,23545939,117000,16601494,12288439,-318914,-65689
773,금양,202312,유,631457,29025,164033,135662,-16872,-65800
774,에이프로젠,202312,유,616820,132419,252772,76106,-30256,-65966
775,한국제지,202312,유,736899,190178,438556,712021,13437,-66586
776,일동제약,202312,유,569182,28063,166232,599153,-40723,-66730
777,진원생명과학,202312,유,142087,78474,120250,37806,-25923,-70341
778,대유에이텍,202312,유,373192,23370,35283,566919,37001,-77377
779,스카이라이프,202312,유,1024659,119555,700040,708217,44201,-78995
780,삼성중공업,202312,유,15891979,880115,3443453,7907247,256949,-89045
781,에이프로젠바이오로직스,202312,유,576595,332877,367344,62082,-56932,-94742
782,후성,202312,유,495487,47176,259114,280670,-7492,-97364
783,휴비스,202312,유,695030,172500,252479,721225,-70558,-99184
784,대교,202312,유,525996,52065,293834,566256,-18667,-103381
785,두산에너빌리티,202312,유,13684509,3267327,5924749,6651862,454858,-104179
